iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
33,"(30, 4)","(30, 5)",South,"[(31, 4), (30, 3)]","[(33, 16), (29, 10), (29, 6)]","[(33, 16), (29, 10), (29, 6), (31, 4), (30, 3)]","{(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)}",32,N/A,N/A
34,"(30, 3)","(30, 4)",South,"[(31, 3)]","[(33, 16), (29, 10), (29, 6), (31, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4), (31, 3)]","{(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)}",33,N/A,N/A
35,"(31, 3)","(30, 3)",East,"[(31, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4), (31, 4)]","{(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)}",34,N/A,N/A
36,"(31, 4)","(30, 4)",East,"[(32, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4), (32, 4)]","{(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (30, 10), (33, 6), (33, 12), (32, 10)}",35,N/A,N/A
37,"(32, 4)","(31, 4)",East,"[(33, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4), (33, 4)]","{(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)}",36,N/A,N/A
38,"(33, 4)","(32, 4)",East,"[(34, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4), (34, 4)]","{(31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)}",37,N/A,N/A
39,"(34, 4)","(33, 4)",East,"[(34, 3)]","[(33, 16), (29, 10), (29, 6), (31, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4), (34, 3)]","{(34, 4), (31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (34, 6), (31, 10), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)}",38,N/A,N/A
40,"(34, 3)","(34, 4)",South,"[(34, 2)]","[(33, 16), (29, 10), (29, 6), (31, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4), (34, 2)]","{(34, 4), (31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)}",39,N/A,N/A
41,"(34, 2)","(34, 3)",South,"[(34, 1)]","[(33, 16), (29, 10), (29, 6), (31, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4), (34, 1)]","{(34, 4), (31, 8), (31, 14), (34, 7), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)}",40,N/A,N/A
42,"(34, 1)","(34, 2)",South,"[(33, 1)]","[(33, 16), (29, 10), (29, 6), (31, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4), (33, 1)]","{(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)}",41,N/A,N/A
43,"(33, 1)","(34, 1)",West,"[(32, 1)]","[(33, 16), (29, 10), (29, 6), (31, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4), (32, 1)]","{(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)}",42,N/A,N/A
44,"(32, 1)","(33, 1)",West,"[(31, 1)]","[(33, 16), (29, 10), (29, 6), (31, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4), (31, 1)]","{(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (32, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)}",43,N/A,N/A
45,"(31, 1)","(32, 1)",West,"[(30, 1)]","[(33, 16), (29, 10), (29, 6), (31, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4), (30, 1)]","{(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (32, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)}",44,N/A,N/A
46,"(30, 1)","(31, 1)",West,"[(29, 1)]","[(33, 16), (29, 10), (29, 6), (31, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4), (29, 1)]","{(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (31, 4), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (32, 1), (30, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)}",45,N/A,N/A
47,"(29, 1)","(30, 1)",West,"[(28, 1)]","[(33, 16), (29, 10), (29, 6), (31, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4), (28, 1)]","{(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 1), (31, 4), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (32, 1), (30, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)}",46,N/A,N/A
48,"(28, 1)","(29, 1)",West,"[(27, 1)]","[(33, 16), (29, 10), (29, 6), (31, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4), (27, 1)]","{(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 1), (31, 4), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (28, 1), (30, 4), (32, 1), (30, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)}",47,N/A,N/A
49,"(27, 1)","(28, 1)",West,"[(27, 2)]","[(33, 16), (29, 10), (29, 6), (31, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4), (27, 2)]","{(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (27, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 1), (31, 4), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (28, 1), (30, 4), (32, 1), (30, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)}",48,N/A,N/A
50,"(27, 2)","(27, 1)",North,"[(26, 2), (27, 3)]","[(33, 16), (29, 10), (29, 6), (31, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4), (26, 2), (27, 3)]","{(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (27, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 1), (31, 4), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (27, 2), (28, 1), (30, 4), (32, 1), (30, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)}",49,N/A,N/A
51,"(27, 3)","(27, 2)",North,"[(27, 4)]","[(33, 16), (29, 10), (29, 6), (31, 4), (26, 2)]","[(33, 16), (29, 10), (29, 6), (31, 4), (26, 2), (27, 4)]","{(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (27, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 1), (31, 4), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (27, 3), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (27, 2), (28, 1), (30, 4), (32, 1), (30, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)}",50,N/A,N/A
52,"(27, 4)","(27, 3)",North,"[(27, 5)]","[(33, 16), (29, 10), (29, 6), (31, 4), (26, 2)]","[(33, 16), (29, 10), (29, 6), (31, 4), (26, 2), (27, 5)]","{(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (27, 1), (34, 10), (34, 16), (27, 4), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 1), (31, 4), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (27, 3), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (27, 2), (28, 1), (30, 4), (32, 1), (30, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)}",51,N/A,N/A
53,"(27, 5)","(27, 4)",North,"[(27, 6)]","[(33, 16), (29, 10), (29, 6), (31, 4), (26, 2)]","[(33, 16), (29, 10), (29, 6), (31, 4), (26, 2), (27, 6)]","{(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (27, 1), (34, 10), (34, 16), (27, 4), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 1), (31, 4), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (27, 3), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (27, 2), (28, 1), (30, 4), (27, 5), (32, 1), (30, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)}",52,N/A,N/A
54,"(27, 6)","(27, 5)",North,"[(27, 7)]","[(33, 16), (29, 10), (29, 6), (31, 4), (26, 2)]","[(33, 16), (29, 10), (29, 6), (31, 4), (26, 2), (27, 7)]","{(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (27, 1), (34, 10), (34, 16), (27, 4), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 1), (31, 4), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (27, 6), (34, 15), (27, 3), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (27, 2), (28, 1), (30, 4), (27, 5), (32, 1), (30, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)}",53,N/A,N/A
